epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
64,865.823,0.55242,0.28379,0.00853,0.9077,0.77719,0.86721,0.64418,0.68491,0.41312,0.01014,0.0007526,0.0007526,0.0007526
65,878.531,0.53834,0.26459,0.00834,0.91992,0.80243,0.88225,0.67097,0.65873,0.40771,0.01047,0.0007328,0.0007328,0.0007328
66,891.192,0.51589,0.26253,0.00779,0.96291,0.78903,0.89216,0.68033,0.6361,0.37555,0.00952,0.000713,0.000713,0.000713
67,904.115,0.57884,0.3032,0.0085,0.92221,0.79027,0.85376,0.65665,0.64471,0.46477,0.00982,0.0006932,0.0006932,0.0006932
68,916.905,0.54119,0.2764,0.0079,0.90642,0.79488,0.87416,0.67247,0.67873,0.4259,0.01091,0.0006734,0.0006734,0.0006734
69,929.704,0.50686,0.2575,0.0078,0.93181,0.78917,0.88282,0.66334,0.67911,0.43417,0.01078,0.0006536,0.0006536,0.0006536
70,942.558,0.51849,0.27425,0.00858,0.92562,0.79428,0.88712,0.68094,0.64916,0.40558,0.01046,0.0006338,0.0006338,0.0006338
71,955.446,0.53532,0.25781,0.00823,0.90583,0.79635,0.87731,0.68286,0.60996,0.41305,0.00933,0.000614,0.000614,0.000614
72,968.352,0.55186,0.25167,0.00868,0.91517,0.78698,0.8783,0.67872,0.62098,0.41373,0.00954,0.0005942,0.0005942,0.0005942
73,981.214,0.5122,0.25273,0.00798,0.96303,0.78419,0.8863,0.68903,0.60795,0.38269,0.00919,0.0005744,0.0005744,0.0005744
74,994.22,0.52325,0.24238,0.0077,0.97416,0.79635,0.89285,0.68813,0.58146,0.39261,0.00849,0.0005546,0.0005546,0.0005546
75,1007.12,0.52387,0.25638,0.00753,0.96032,0.80925,0.89559,0.69485,0.59847,0.39796,0.00914,0.0005348,0.0005348,0.0005348
76,1019.88,0.46297,0.22277,0.00747,0.93655,0.80756,0.88596,0.68793,0.61014,0.39737,0.00916,0.000515,0.000515,0.000515
77,1032.68,0.46485,0.23281,0.00749,0.9346,0.80851,0.89239,0.68894,0.60479,0.357,0.00881,0.0004952,0.0004952,0.0004952
78,1045.55,0.46756,0.23595,0.00729,0.92066,0.81123,0.88916,0.68861,0.60975,0.36718,0.00862,0.0004754,0.0004754,0.0004754
79,1058.33,0.46059,0.21036,0.00738,0.93549,0.7934,0.87082,0.67935,0.61678,0.41058,0.00955,0.0004556,0.0004556,0.0004556
80,1071.18,0.45661,0.21584,0.00721,0.95831,0.76846,0.86944,0.68018,0.59044,0.42665,0.00858,0.0004358,0.0004358,0.0004358
81,1084,0.50293,0.2469,0.0076,0.95503,0.77452,0.87625,0.68479,0.60506,0.41414,0.00905,0.000416,0.000416,0.000416
82,1096.8,0.49513,0.25352,0.00755,0.93867,0.79091,0.88326,0.68946,0.59389,0.38882,0.00865,0.0003962,0.0003962,0.0003962
83,1109.67,0.53868,0.25882,0.00784,0.93338,0.79939,0.88226,0.69797,0.58951,0.39579,0.00917,0.0003764,0.0003764,0.0003764
84,1122.66,0.43483,0.22518,0.00663,0.93353,0.81103,0.88377,0.69317,0.56677,0.37125,0.00799,0.0003566,0.0003566,0.0003566
85,1135.42,0.46752,0.22461,0.00657,0.92121,0.81733,0.89104,0.68464,0.5921,0.39076,0.00861,0.0003368,0.0003368,0.0003368
86,1148.38,0.44019,0.22788,0.00645,0.90309,0.80243,0.87564,0.6879,0.59895,0.41453,0.00909,0.000317,0.000317,0.000317
87,1161.15,0.43971,0.20965,0.00638,0.8947,0.80059,0.86708,0.68163,0.59441,0.42226,0.00831,0.0002972,0.0002972,0.0002972
88,1173.9,0.42073,0.20526,0.00691,0.93784,0.77812,0.86398,0.68378,0.58451,0.42045,0.00819,0.0002774,0.0002774,0.0002774
89,1186.61,0.46889,0.24325,0.00708,0.9347,0.7832,0.86457,0.68625,0.61066,0.40643,0.00901,0.0002576,0.0002576,0.0002576
90,1199.42,0.4506,0.22831,0.00706,0.95043,0.77204,0.87473,0.69122,0.57452,0.38586,0.00806,0.0002378,0.0002378,0.0002378
91,1231.81,0.35023,0.18874,0.00829,0.90548,0.79635,0.87529,0.68834,0.59331,0.37927,0.00863,0.000218,0.000218,0.000218
92,1244.74,0.32288,0.13946,0.00671,0.91426,0.77785,0.86812,0.68862,0.57616,0.37783,0.00819,0.0001982,0.0001982,0.0001982
93,1257.59,0.32186,0.14134,0.00716,0.91729,0.77508,0.86764,0.68875,0.58041,0.38573,0.00863,0.0001784,0.0001784,0.0001784
94,1270.56,0.31187,0.13141,0.00696,0.91694,0.7718,0.87024,0.68871,0.56832,0.37702,0.00804,0.0001586,0.0001586,0.0001586
95,1283.49,0.30675,0.12979,0.0067,0.92516,0.77508,0.87158,0.69111,0.55833,0.39532,0.00786,0.0001388,0.0001388,0.0001388
96,1296.44,0.29861,0.13217,0.00598,0.91483,0.78356,0.87187,0.68999,0.56946,0.40314,0.00803,0.000119,0.000119,0.000119
97,1312.45,0.28497,0.13202,0.00653,0.91612,0.78723,0.86911,0.68962,0.5569,0.39199,0.00758,9.92e-05,9.92e-05,9.92e-05
98,1336.21,0.30837,0.13196,0.00613,0.90545,0.79939,0.87244,0.68915,0.55859,0.38622,0.0077,7.94e-05,7.94e-05,7.94e-05
99,1359.69,0.3036,0.12913,0.00674,0.91152,0.79331,0.87668,0.69016,0.56356,0.38287,0.00768,5.96e-05,5.96e-05,5.96e-05
100,1387.6,0.27994,0.12601,0.0057,0.91736,0.79027,0.87735,0.68893,0.56132,0.37849,0.00768,3.98e-05,3.98e-05,3.98e-05
